date_time,traffic_volume
15/9/2018 12:00,4990
15/9/2018 13:00,4848
15/9/2018 14:00,4343
15/9/2018 15:00,4296
15/9/2018 16:00,4219
15/9/2018 17:00,3953
15/9/2018 18:00,3826
15/9/2018 19:00,3455
15/9/2018 20:00,3208
15/9/2018 21:00,3055
15/9/2018 22:00,2741
15/9/2018 23:00,2123
16/9/2018 0:00,1353
16/9/2018 1:00,786
16/9/2018 2:00,607
16/9/2018 3:00,401
16/9/2018 4:00,313
16/9/2018 5:00,467
16/9/2018 6:00,850
16/9/2018 7:00,1302
16/9/2018 8:00,2090
16/9/2018 9:00,3039
16/9/2018 10:00,3278
16/9/2018 11:00,4352
16/9/2018 12:00,3978
16/9/2018 13:00,3935
16/9/2018 14:00,3829
16/9/2018 15:00,4101
16/9/2018 16:00,4539
16/9/2018 17:00,4154
16/9/2018 18:00,3701
16/9/2018 19:00,3400
16/9/2018 20:00,3092
16/9/2018 21:00,2623
16/9/2018 22:00,1725
16/9/2018 23:00,1088
17/9/2018 0:00,550
17/9/2018 1:00,280
17/9/2018 2:00,260
17/9/2018 3:00,344
17/9/2018 4:00,880
17/9/2018 5:00,2965
17/9/2018 6:00,5667
17/9/2018 7:00,6533
17/9/2018 8:00,6070
17/9/2018 9:00,5145
17/9/2018 10:00,4201
17/9/2018 11:00,4371
17/9/2018 12:00,4533
17/9/2018 13:00,4680
17/9/2018 14:00,4930
17/9/2018 14:00,4930
17/9/2018 15:00,5327
17/9/2018 15:00,5327
17/9/2018 15:00,5327
17/9/2018 15:00,5327
17/9/2018 16:00,6354
17/9/2018 16:00,6354
17/9/2018 16:00,6354
17/9/2018 17:00,5412
17/9/2018 17:00,5412
17/9/2018 17:00,5412
17/9/2018 18:00,4000
17/9/2018 18:00,4000
17/9/2018 19:00,2897
17/9/2018 19:00,2897
17/9/2018 20:00,2466
17/9/2018 20:00,2466
17/9/2018 21:00,2090
17/9/2018 22:00,1434
17/9/2018 23:00,869
18/9/2018 0:00,536
18/9/2018 0:00,536
18/9/2018 1:00,351
18/9/2018 1:00,351
18/9/2018 1:00,351
18/9/2018 2:00,227
18/9/2018 2:00,227
18/9/2018 3:00,340
18/9/2018 3:00,340
18/9/2018 3:00,340
18/9/2018 4:00,858
18/9/2018 4:00,858
18/9/2018 4:00,858
18/9/2018 5:00,3027
18/9/2018 5:00,3027
18/9/2018 5:00,3027
18/9/2018 6:00,5642
18/9/2018 6:00,5642
18/9/2018 6:00,5642
18/9/2018 7:00,6516
18/9/2018 7:00,6516
18/9/2018 8:00,5873
18/9/2018 8:00,5873
18/9/2018 8:00,5873
18/9/2018 9:00,5123
18/9/2018 9:00,5123
18/9/2018 9:00,5123
18/9/2018 10:00,4527
18/9/2018 10:00,4527
18/9/2018 10:00,4527
18/9/2018 11:00,4593
18/9/2018 12:00,4725
18/9/2018 13:00,4737
18/9/2018 14:00,4931
18/9/2018 15:00,5623
18/9/2018 16:00,6623
18/9/2018 17:00,5916
18/9/2018 18:00,4423
18/9/2018 18:00,4423
18/9/2018 19:00,3309
18/9/2018 19:00,3309
18/9/2018 20:00,2805
18/9/2018 21:00,2400
18/9/2018 22:00,2631
18/9/2018 22:00,2631
18/9/2018 23:00,1501
19/9/2018 0:00,617
19/9/2018 0:00,617
19/9/2018 1:00,401
19/9/2018 1:00,401
19/9/2018 2:00,282
19/9/2018 2:00,282
19/9/2018 3:00,358
19/9/2018 3:00,358
19/9/2018 4:00,913
19/9/2018 4:00,913
19/9/2018 4:00,913
19/9/2018 5:00,3074
19/9/2018 5:00,3074
19/9/2018 6:00,5803
19/9/2018 6:00,5803
19/9/2018 7:00,6510
19/9/2018 7:00,6510
19/9/2018 7:00,6510
19/9/2018 8:00,6101
19/9/2018 8:00,6101
19/9/2018 9:00,5331
19/9/2018 9:00,5331
19/9/2018 9:00,5331
19/9/2018 9:00,5331
19/9/2018 10:00,4266
19/9/2018 10:00,4266
19/9/2018 10:00,4266
19/9/2018 10:00,4266
19/9/2018 11:00,4567
19/9/2018 11:00,4567
19/9/2018 11:00,4567
19/9/2018 12:00,4734
19/9/2018 12:00,4734
19/9/2018 13:00,4675
19/9/2018 13:00,4675
19/9/2018 13:00,4675
19/9/2018 14:00,4980
19/9/2018 14:00,4980
19/9/2018 15:00,5718
19/9/2018 16:00,6382
19/9/2018 16:00,6382
19/9/2018 17:00,5647
19/9/2018 17:00,5647
19/9/2018 17:00,5647
19/9/2018 18:00,4469
19/9/2018 18:00,4469
19/9/2018 18:00,4469
19/9/2018 19:00,3460
19/9/2018 19:00,3460
19/9/2018 20:00,2865
19/9/2018 21:00,2576
19/9/2018 21:00,2576
19/9/2018 22:00,1693
19/9/2018 22:00,1693
19/9/2018 22:00,1693
19/9/2018 23:00,994
20/9/2018 0:00,583
20/9/2018 1:00,349
20/9/2018 1:00,349
20/9/2018 2:00,265
20/9/2018 2:00,265
20/9/2018 2:00,265
20/9/2018 3:00,344
20/9/2018 3:00,344
20/9/2018 3:00,344
20/9/2018 4:00,914
20/9/2018 4:00,914
20/9/2018 5:00,2924
20/9/2018 5:00,2924
20/9/2018 5:00,2924
20/9/2018 5:00,2924
20/9/2018 6:00,5417
20/9/2018 6:00,5417
20/9/2018 6:00,5417
20/9/2018 6:00,5417
20/9/2018 7:00,5766
20/9/2018 7:00,5766
20/9/2018 8:00,5331
20/9/2018 8:00,5331
20/9/2018 9:00,5264
20/9/2018 9:00,5264
20/9/2018 10:00,4326
20/9/2018 10:00,4326
20/9/2018 10:00,4326
20/9/2018 11:00,4592
20/9/2018 11:00,4592
20/9/2018 11:00,4592
20/9/2018 12:00,4695
20/9/2018 12:00,4695
20/9/2018 13:00,4459
20/9/2018 14:00,4517
20/9/2018 14:00,4517
20/9/2018 14:00,4517
20/9/2018 14:00,4517
20/9/2018 15:00,5257
20/9/2018 15:00,5257
20/9/2018 15:00,5257
20/9/2018 16:00,6331
20/9/2018 16:00,6331
20/9/2018 16:00,6331
20/9/2018 17:00,5065
20/9/2018 17:00,5065
20/9/2018 17:00,5065
20/9/2018 18:00,3898
20/9/2018 18:00,3898
20/9/2018 18:00,3898
20/9/2018 18:00,3898
20/9/2018 18:00,3898
20/9/2018 19:00,2957
20/9/2018 19:00,2957
20/9/2018 19:00,2957
20/9/2018 19:00,2957
20/9/2018 20:00,2740
20/9/2018 20:00,2740
20/9/2018 20:00,2740
20/9/2018 20:00,2740
20/9/2018 21:00,3497
20/9/2018 22:00,2356
20/9/2018 22:00,2356
20/9/2018 23:00,1633
21/9/2018 0:00,698
21/9/2018 1:00,407
21/9/2018 2:00,304
21/9/2018 3:00,377
21/9/2018 4:00,867
21/9/2018 4:00,867
21/9/2018 4:00,867
21/9/2018 5:00,2919
21/9/2018 5:00,2919
21/9/2018 5:00,2919
21/9/2018 6:00,5457
21/9/2018 7:00,6539
21/9/2018 8:00,5653
21/9/2018 8:00,5653
21/9/2018 8:00,5653
21/9/2018 9:00,4981
21/9/2018 9:00,4981
21/9/2018 9:00,4981
21/9/2018 10:00,4548
21/9/2018 11:00,4937
21/9/2018 12:00,5039
21/9/2018 13:00,4901
21/9/2018 14:00,5185
21/9/2018 15:00,5973
21/9/2018 16:00,6007
21/9/2018 17:00,5489
21/9/2018 18:00,4607
21/9/2018 19:00,3958
21/9/2018 20:00,3255
21/9/2018 21:00,2931
21/9/2018 22:00,2570
21/9/2018 23:00,2179
22/9/2018 0:00,1516
22/9/2018 1:00,1273
22/9/2018 2:00,1207
22/9/2018 3:00,611
22/9/2018 4:00,647
22/9/2018 5:00,960
22/9/2018 6:00,1635
22/9/2018 7:00,2445
22/9/2018 8:00,3415
22/9/2018 9:00,3770
22/9/2018 10:00,4308
22/9/2018 11:00,4638
22/9/2018 12:00,4831
22/9/2018 13:00,4565
22/9/2018 14:00,4654
22/9/2018 15:00,4589
22/9/2018 16:00,4582
22/9/2018 17:00,4847
22/9/2018 18:00,4620
22/9/2018 19:00,4347
22/9/2018 20:00,3602
22/9/2018 21:00,2985
22/9/2018 22:00,2480
22/9/2018 23:00,1871
23/9/2018 0:00,1249
23/9/2018 1:00,690
23/9/2018 2:00,565
23/9/2018 3:00,319
23/9/2018 4:00,339
23/9/2018 5:00,514
23/9/2018 6:00,910
23/9/2018 7:00,1402
23/9/2018 8:00,2203
23/9/2018 9:00,3562
23/9/2018 10:00,4594
23/9/2018 11:00,4252
23/9/2018 12:00,3945
23/9/2018 13:00,4107
23/9/2018 14:00,4091
23/9/2018 15:00,4195
23/9/2018 16:00,4413
23/9/2018 17:00,4117
23/9/2018 18:00,3997
23/9/2018 19:00,3516
23/9/2018 20:00,2846
23/9/2018 21:00,2346
23/9/2018 22:00,1635
23/9/2018 23:00,934
24/9/2018 0:00,509
24/9/2018 1:00,344
24/9/2018 2:00,219
24/9/2018 3:00,328
24/9/2018 4:00,888
24/9/2018 5:00,2954
24/9/2018 6:00,5747
24/9/2018 7:00,6591
24/9/2018 8:00,5900
24/9/2018 9:00,4936
24/9/2018 10:00,4351
24/9/2018 11:00,4468
24/9/2018 12:00,4531
24/9/2018 13:00,4433
24/9/2018 14:00,4816
24/9/2018 15:00,5443
24/9/2018 16:00,6307
24/9/2018 17:00,5562
24/9/2018 18:00,4167
24/9/2018 19:00,3253
24/9/2018 20:00,2559
24/9/2018 21:00,2084
24/9/2018 22:00,1392
24/9/2018 22:00,1392
24/9/2018 22:00,1392
24/9/2018 23:00,826
24/9/2018 23:00,826
24/9/2018 23:00,826
25/9/2018 0:00,527
25/9/2018 0:00,527
25/9/2018 1:00,302
25/9/2018 1:00,302
25/9/2018 2:00,234
